id,first_name,last_name,email,gender,favorite_genres,created_at,updated_at,ingested_at,valid_until
87674,Mariah,Miller,emily29@example.org,Female,Punk,2023-05-25T14:47:34.494110,2024-05-09T01:40:30.430263,2024-10-28 00:30:44.234844,
30860,Kenneth,Wilson,tonya50@example.com,Gender nonconforming,Punk,2023-01-16T11:30:45.481729,2024-01-16T23:33:58.855498,2024-10-28 00:30:44.234844,
98983,Amy,Jackson,kylemiranda@example.org,Female,Alternative,2023-11-23T08:27:42.221981,2023-12-30T15:39:06.877138,2024-10-28 00:30:44.234844,
96089,Ebony,Moreno,kwatts@example.org,Male,Metal,2024-10-19T22:19:38.438074,2024-06-15T14:39:55.350438,2024-10-28 00:30:44.234844,
63389,Robert,Jackson,mherman@example.net,Female,Pop,2024-09-03T22:31:08.216121,2024-02-18T03:18:11.237491,2024-10-28 00:30:44.234844,
82181,Sherry,Martinez,shannonjohnson@example.org,Genderqueer,R&B,2022-11-09T10:53:28.519011,2024-07-16T17:48:20.879200,2024-10-28 00:30:44.234844,
36338,Ronald,Green,elaine22@example.org,Gender questioning,Funk,2023-12-11T17:01:05.264455,2024-09-26T07:02:44.488356,2024-10-28 00:30:44.234844,
38115,Jennifer,Ochoa,xyu@example.com,Gender nonconforming,Punk,2024-09-29T06:31:02.904661,2024-05-11T14:39:24.465779,2024-10-28 00:30:44.234844,
8062,William,Gomez,itorres@example.com,Genderqueer,Techno,2024-03-27T15:05:47.315094,2024-04-13T09:01:11.310119,2024-10-28 00:30:44.234844,
77159,Timothy,Golden,chunt@example.org,Genderqueer,Funk,2023-04-29T21:06:13.049698,2024-02-08T08:18:57.741910,2024-10-28 00:30:44.234844,
88940,Ernest,Moore,karen60@example.com,Genderfluid,Punk,2023-03-16T09:07:21.248993,2023-11-12T01:42:24.473730,2024-10-28 00:30:44.234844,
89498,Walter,Moore,garrisonleslie@example.com,Agender,Punk,2023-10-16T06:25:14.695088,2024-02-20T15:14:29.165572,2024-10-28 00:30:44.234844,
71052,Sydney,Levy,emily65@example.org,Female,Techno,2023-02-17T08:02:55.360068,2024-09-22T04:10:27.199146,2024-10-28 00:30:44.234844,
64472,Travis,Smith,joshuawalsh@example.org,Bigender,Punk,2023-09-15T19:50:48.642515,2024-10-12T16:01:21.514960,2024-10-28 00:30:44.234844,
19341,Rebekah,Henson,asmith@example.com,Agender,Jazz,2023-11-29T19:59:06.284197,2024-04-11T19:59:04.148216,2024-10-28 00:30:44.234844,
52536,Robert,Armstrong,jessica59@example.net,Female,Reggae,2023-01-27T11:07:05.335407,2024-10-17T10:03:46.473777,2024-10-28 00:30:44.234844,
3885,Mario,Flynn,petersonzachary@example.net,Female,Rock,2024-01-17T03:11:54.069673,2024-08-02T08:00:39.669295,2024-10-28 00:30:44.234844,
68999,Bradley,Lawrence,davidsaunders@example.net,Agender,Pop,2023-07-13T14:54:47.484341,2024-03-15T07:10:58.900573,2024-10-28 00:30:44.234844,
25965,Gregory,Hansen,mcgeealan@example.net,Genderfluid,Folk,2023-12-13T19:03:25.087503,2023-12-23T10:01:01.302731,2024-10-28 00:30:44.234844,
36427,John,Serrano,morrismartin@example.org,Genderfluid,Country,2023-06-23T12:52:56.468621,2024-10-19T20:06:56.638134,2024-10-28 00:30:44.234844,
3268,Janice,Gonzalez,jeremyphillips@example.com,Agender,Punk,2023-04-23T12:37:15.956844,2024-09-28T09:06:30.886343,2024-10-28 00:30:44.234844,
15370,Patricia,Hamilton,sherryjohnson@example.net,Agender,Pop,2024-05-23T21:37:13.264921,2024-06-22T20:52:27.343437,2024-10-28 00:30:44.234844,
70890,Kaylee,Mills,cohenroy@example.org,Genderfluid,Pop,2024-07-21T05:18:35.734642,2024-10-23T05:58:06.626507,2024-10-28 00:30:44.234844,
87465,Philip,Lewis,sue48@example.net,Gender questioning,Electronic,2023-04-30T02:08:34.360429,2024-09-03T08:45:20.373025,2024-10-28 00:30:44.234844,
6334,Kevin,White,andrewgarcia@example.com,Gender nonconforming,Classical,2023-06-07T01:41:14.582325,2024-08-17T22:18:13.092735,2024-10-28 00:30:44.234844,
30175,Teresa,Ballard,jamie69@example.org,Female,Reggae,2023-05-21T21:35:24.722641,2024-03-27T02:54:26.540218,2024-10-28 00:30:44.234844,
36288,Veronica,Bass,bmcmillan@example.org,Agender,Blues,2024-07-07T04:47:00.220821,2024-09-10T02:03:50.437452,2024-10-28 00:30:44.234844,
18461,Kristina,Davis,mcmahonjennifer@example.org,Female,Techno,2024-01-12T08:20:48.603372,2024-02-25T12:35:49.061591,2024-10-28 00:30:44.234844,
79517,Pamela,Day,leescott@example.com,Gender questioning,Metal,2023-05-23T13:48:27.481409,2024-08-19T05:46:14.249841,2024-10-28 00:30:44.234844,
70994,Karina,Smith,prattlaura@example.org,Agender,R&B,2023-07-10T08:08:23.400263,2024-05-10T16:17:27.617102,2024-10-28 00:30:44.234844,
97182,Diana,Chapman,shelly98@example.org,Gender questioning,Funk,2024-01-16T07:04:44.386962,2023-11-24T04:58:33.631771,2024-10-28 00:30:44.234844,
44165,David,Hartman,heather06@example.net,Genderfluid,Blues,2024-02-23T23:19:39.913269,2024-10-21T06:59:46.281389,2024-10-28 00:30:44.234844,
20336,Mandy,Skinner,tyler78@example.com,Non-binary,Alternative,2023-06-29T03:02:17.807006,2024-03-29T11:22:36.373973,2024-10-28 00:30:44.234844,
20211,Karen,Bauer,kmclaughlin@example.org,Non-binary,Country,2024-06-26T01:00:34.050343,2023-12-13T03:34:49.606205,2024-10-28 00:30:44.234844,
58331,Michelle,Miller,garciaernest@example.net,Genderqueer,Country,2024-01-02T23:41:52.049339,2024-07-10T22:01:58.177871,2024-10-28 00:30:44.234844,
34875,Jennifer,Pena,briancalhoun@example.net,Gender questioning,Punk,2023-01-03T13:24:06.833614,2024-08-06T17:38:35.848889,2024-10-28 00:30:44.234844,
76518,Benjamin,Beasley,gcarney@example.org,Male,Punk,2023-08-11T13:49:54.531655,2024-02-22T21:19:58.714128,2024-10-28 00:30:44.234844,
88388,Kent,Patel,april56@example.com,Genderqueer,Funk,2023-09-17T12:07:39.286771,2024-02-26T01:06:35.249158,2024-10-28 00:30:44.234844,
96044,James,Pugh,michellehatfield@example.net,Male,Rock,2023-06-10T09:41:55.390169,2024-09-18T12:24:34.902184,2024-10-28 00:30:44.234844,
72520,Kelly,Rodriguez,robert04@example.com,Gender nonconforming,Hip Hop,2022-12-29T07:04:53.351800,2024-08-30T01:28:45.456131,2024-10-28 00:30:44.234844,
40004,Rebecca,Phillips,david65@example.net,Male,Rock,2022-12-25T04:57:37.694351,2023-12-19T15:42:33.775480,2024-10-28 00:30:44.234844,
3992,Melissa,Abbott,andersondave@example.net,Genderqueer,Pop,2023-05-18T23:51:34.798860,2024-03-10T18:59:48.169490,2024-10-28 00:30:44.234844,
72815,Angela,Strong,janet73@example.com,Genderfluid,Alternative,2023-07-09T16:55:21.077369,2024-06-25T22:50:49.143087,2024-10-28 00:30:44.234844,
46215,Steven,Howard,plong@example.com,Gender questioning,R&B,2023-07-18T02:49:03.226099,2024-04-09T00:28:14.307745,2024-10-28 00:30:44.234844,
70810,Shelley,Bentley,brownsandy@example.com,Female,Indie,2024-05-07T12:11:46.979363,2024-08-14T23:18:51.278605,2024-10-28 00:30:44.234844,
35815,John,Snyder,thomas88@example.net,Non-binary,Punk,2023-05-05T06:04:12.133110,2024-10-27T18:54:54.793375,2024-10-28 00:30:44.234844,
39212,Melissa,Clark,cruzjessica@example.org,Female,Jazz,2024-08-24T11:46:45.618550,2024-06-29T15:25:14.408955,2024-10-28 00:30:44.234844,
76142,Jacob,Acevedo,hgutierrez@example.com,Male,Alternative,2023-08-10T14:35:24.724463,2024-04-11T17:55:25.015410,2024-10-28 00:30:44.234844,
81242,Reginald,Hendricks,christopherramos@example.org,Bigender,Techno,2023-02-12T13:59:03.332773,2024-04-09T10:22:51.527879,2024-10-28 00:30:44.234844,
39631,Jonathan,Scott,kelly89@example.net,Bigender,Funk,2024-01-17T02:07:31.581909,2023-12-10T14:20:34.835562,2024-10-28 00:30:44.234844,
26348,Amber,Miller,shelby73@example.org,Genderfluid,Indie,2023-01-26T11:53:18.681018,2024-03-08T18:07:08.282488,2024-10-28 00:30:44.234844,
62419,Rachel,Gomez,christensenmonica@example.org,Bigender,Rock,2024-08-23T08:00:06.398042,2024-05-21T03:42:16.640563,2024-10-28 00:30:44.234844,
53814,Zachary,Alvarez,adamsjeffrey@example.com,Bigender,Reggae,2023-01-07T03:09:11.275864,2024-01-17T00:55:39.811033,2024-10-28 00:30:44.234844,
9343,Elizabeth,Williams,scottrobert@example.com,Gender nonconforming,Classical,2022-11-06T05:26:53.438304,2023-11-07T17:43:31.592266,2024-10-28 00:30:44.234844,
15640,Matthew,Ashley,ewalker@example.com,Bigender,Alternative,2023-05-29T11:50:40.877013,2024-01-21T16:13:13.759115,2024-10-28 00:30:44.234844,
31077,Randy,Turner,henry16@example.com,Gender questioning,Classical,2023-09-09T16:11:04.558009,2024-08-03T10:40:07.779821,2024-10-28 00:30:44.234844,
9524,Mary,Terry,kjohnson@example.org,Genderfluid,Reggae,2023-04-26T08:54:28.973325,2024-01-07T16:33:40.812487,2024-10-28 00:30:44.234844,
48870,Nicholas,Beard,laurie69@example.net,Gender nonconforming,Indie,2023-11-14T15:37:47.564727,2024-02-07T23:46:57.056077,2024-10-28 00:30:44.234844,
54727,Kevin,Gonzales,butlerchristopher@example.net,Gender nonconforming,Indie,2023-06-26T05:41:56.186701,2024-05-31T20:04:47.890253,2024-10-28 00:30:44.234844,
23393,Mark,Miller,saralee@example.com,Genderfluid,Classical,2023-03-16T11:43:25.414862,2024-05-05T04:55:01.177565,2024-10-28 00:30:44.234844,
4636,Rachel,Obrien,wallacezachary@example.com,Agender,Funk,2023-10-06T15:23:03.043405,2024-02-24T22:04:31.425653,2024-10-28 00:30:44.234844,
18770,Ashley,Williams,robert42@example.org,Male,Metal,2023-04-19T16:22:58.296874,2024-09-27T05:48:53.224842,2024-10-28 00:30:44.234844,
7822,Stephanie,Lopez,mary10@example.com,Genderqueer,R&B,2024-09-22T06:39:24.309463,2024-03-06T03:07:29.605165,2024-10-28 00:30:44.234844,
53841,Margaret,Norris,vphillips@example.net,Gender nonconforming,R&B,2023-09-15T07:24:53.948269,2023-11-29T09:35:36.490116,2024-10-28 00:30:44.234844,
27934,Daniel,Fischer,juliamueller@example.com,Non-binary,Pop,2024-05-25T12:57:00.811281,2023-11-02T15:34:01.561317,2024-10-28 00:30:44.234844,
99641,John,Patterson,elliottmelissa@example.net,Bigender,Techno,2023-04-05T22:00:30.572379,2024-07-31T15:47:29.309962,2024-10-28 00:30:44.234844,
90861,Amy,Ford,williamssandra@example.net,Genderqueer,Hip Hop,2023-07-17T15:43:26.963938,2024-09-01T00:43:02.235984,2024-10-28 00:30:44.234844,
30487,Michael,Hicks,johnramirez@example.net,Bigender,Jazz,2024-10-26T23:12:18.945148,2024-05-20T15:05:38.276441,2024-10-28 00:30:44.234844,
51812,Phillip,Cohen,arthurfischer@example.org,Non-binary,Electronic,2023-09-22T13:34:40.150070,2023-11-29T21:58:52.772739,2024-10-28 00:30:44.234844,
90425,Mark,Green,tkelly@example.com,Gender nonconforming,Alternative,2023-01-06T22:08:47.768419,2023-12-23T08:34:54.346907,2024-10-28 00:30:44.234844,
15695,David,Sheppard,christine59@example.org,Gender nonconforming,Hip Hop,2024-03-10T23:39:07.789174,2023-11-07T20:59:01.372300,2024-10-28 00:30:44.234844,
68525,Joseph,Fisher,alexandra84@example.com,Genderqueer,Reggae,2024-07-22T03:57:51.936575,2024-08-24T02:09:29.220269,2024-10-28 00:30:44.234844,
